元の表記,状態,みんトレ表記,apparel_id,出どころ,件数,候補,理由
拡張パック『反逆クラッシュ』(S2)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム ソード&シールド 拡張パック 反逆クラッシュ ボックス,12890,管理画面,1,12890:ポケモンカードゲーム ソード&シールド 拡張パック 反逆クラッシュ ボックス(3) || 88164:ポケモンカードゲーム ソード&シールド 拡張パック 反逆クラッシュ パック(0) || 38685:ポケモンカードゲーム ソード&シールド 拡張パック 反逆クラッシュ ポケモンセンター限定セット(-2) || 38684:ポケモンカードゲーム ソード&シールド Vスペシャルセット 反逆クラッシュ(-4),型番なし・名前で一致
拡張パック『摩天パーフェクト』(S7D)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム ソード & シールド 拡張パック 摩天パーフェクト ボックス,12888,管理画面,1,12888:ポケモンカードゲーム ソード & シールド 拡張パック 摩天パーフェクト ボックス(3) || 88174:ポケモンカードゲーム ソード & シールド 拡張パック 摩天パーフェクト パック(0),型番なし・名前で一致
拡張パック『漆黒のガイスト』(S6K)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム ソード & シールド 拡張パック 漆黒のガイスト ボックス,12881,管理画面,1,12881:ポケモンカードゲーム ソード & シールド 拡張パック 漆黒のガイスト ボックス(3) || 88166:ポケモンカードゲーム ソード & シールド 拡張パック 漆黒のガイスト パック(0) || 32858:ポケモンカードゲーム ソード&シールド ジャンボパックセット 白銀のランス&漆黒のガイスト(-2) || 32859:ポケモンカードゲーム ソード&シールド 拡張パック 白銀のランス&漆黒のガイスト ポケモンセンター・ポケモンストアセット(-2),型番なし・名前で一致
拡張パック『蒼空ストリーム』(S7R)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム ソード & シールド 拡張パック 蒼空ストリーム ボックス (蒼空),12889,仕入れ管理シートF列・管理画面,1,12889:ポケモンカードゲーム ソード & シールド 拡張パック 蒼空ストリーム ボックス (蒼空)(3) || 88175:ポケモンカードゲーム ソード & シールド 拡張パック 蒼空ストリーム パック(0),型番なし・名前で一致
拡張パック『裂空のカリスマ』(SM7)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム サン&ムーン 拡張パック 裂空のカリスマ ボックス,15530,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,1,15530:ポケモンカードゲーム サン&ムーン 拡張パック 裂空のカリスマ ボックス(3) || 88188:ポケモンカードゲーム サン&ムーン 拡張パック 裂空のカリスマ パック(0),型番なし・名前で一致
拡張パック『連撃マスター』(S5R)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム ソード & シールド 拡張パック 連撃マスター ボックス,12876,管理画面,1,12876:ポケモンカードゲーム ソード & シールド 拡張パック 連撃マスター ボックス(3) || 88185:ポケモンカードゲーム ソード & シールド 拡張パック 連撃マスター パック(0) || 32861:ポケモンカードゲーム ソード&シールド 拡張パック 一撃マスター&連撃マスター ポケモンセンター・ポケモンストアセット(-2),型番なし・名前で一致
拡張パック第11弾 爆熱の闘士(XY11)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム XY 拡張パック 爆熱の闘士 1ED ボックス,480218,管理画面,1,,人が選んだ（overrides）
時を超えたセレビィ,確定,時を超えたセレビィ [10th],450626,管理画面,1,450626:時を超えたセレビィ [10th](5),型番なし・当たる商品が1つだけ
海で遊ぶピカチュウ（392/SM-P),確定,海で遊ぶピカチュウ: プロモ [SM-P 392],107448,管理画面,1,107448:海で遊ぶピカチュウ: プロモ [SM-P 392](4),
熱風のアリーナ,確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「熱風のアリーナ」パック,518729,仕入れ管理シートF列・在庫管理・管理画面,1,,人が選んだ（overrides）
覚醒の勇者,要確認,,,管理画面,1,,名前で当たる商品が無い
超電ブレイカー 1パック,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「超電ブレイカー」パック,395190,管理画面,1,,人が選んだ（overrides）
"🎁みんトレ福袋（1,000,000pt・PSA10入り）",確定,"🎁みんトレ福袋(1,000,000pt・PSA10入り)",,管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
"🎁みんトレ福袋（150,000pt・PSA10入り）",確定,"🎁みんトレ福袋(150,000pt・PSA10入り)",,管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
メガゲッコウガex(m4 114/083),確定,メガゲッコウガex SAR [M4 114/083],776365,仕入れ管理シート・商品ごとの不足数・在庫管理,0,776365:メガゲッコウガex SAR [M4 114/083](6),
"🎁みんトレ福袋（5,000pt相当）",確定,"🎁みんトレ福袋(5,000pt相当)",,仕入れ管理シート・商品ごとの不足数・在庫管理,0,,なにかの〜・福袋（書き方の決まりで揃えた）
なにかのパック×2,確定,なにかのパック×2,,仕入れ管理シート・商品ごとの不足数,0,,なにかの〜・福袋（書き方の決まりで揃えた）
なにかのBOX,確定,なにかのBOX,,仕入れ管理シート・商品ごとの不足数・在庫管理,0,,なにかの〜・福袋（書き方の決まりで揃えた）
なにかのBOX（シュリンク付）,確定,なにかのBOX(シュリンク付),,仕入れ管理シート・商品ごとの不足数・在庫管理,0,,なにかの〜・福袋（書き方の決まりで揃えた）
一撃マスター,確定,ポケモンカードゲーム ソード & シールド 拡張パック 一撃マスター ボックス,12877,仕入れ管理シート・在庫管理,0,12877:ポケモンカードゲーム ソード & シールド 拡張パック 一撃マスター ボックス(3) || 88186:ポケモンカードゲーム ソード & シールド 拡張パック 一撃マスター パック(0) || 32861:ポケモンカードゲーム ソード&シールド 拡張パック 一撃マスター&連撃マスター ポケモンセンター・ポケモンストアセット(-2),在庫管理の略称をBOXとして照合
スカイレジェンド,確定,ポケモンカードゲーム サン&ムーン 強化拡張パック スカイレジェンド ボックス,12895,仕入れ管理シート・在庫管理,0,12895:ポケモンカードゲーム サン&ムーン 強化拡張パック スカイレジェンド ボックス(3) || 88198:ポケモンカードゲーム サン&ムーン 強化拡張パック スカイレジェンド パック(0),在庫管理の略称をBOXとして照合
ソードシールド,要確認,,,仕入れ管理シート・在庫管理,0,,名前で当たる商品が無い
摩天パーフェクト,確定,ポケモンカードゲーム ソード & シールド 拡張パック 摩天パーフェクト ボックス,12888,仕入れ管理シート・在庫管理,0,12888:ポケモンカードゲーム ソード & シールド 拡張パック 摩天パーフェクト ボックス(3) || 88174:ポケモンカードゲーム ソード & シールド 拡張パック 摩天パーフェクト パック(0),在庫管理の略称をBOXとして照合
トリプレットビート,確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「トリプレットビート」 ボックス,111467,仕入れ管理シート・在庫管理,0,111467:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「トリプレットビート」 ボックス(3) || 111466:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「トリプレットビート」パック(0),在庫管理の略称をBOXとして照合
タイムゲイザー,確定,ポケモンカードゲーム ソード&シールド 拡張パック タイムゲイザー ボックス,66738,仕入れ管理シート・在庫管理,0,66738:ポケモンカードゲーム ソード&シールド 拡張パック タイムゲイザー ボックス(3) || 88196:ポケモンカードゲーム ソード&シールド 拡張パック タイムゲイザー パック(0),在庫管理の略称をBOXとして照合
タッグボルト,確定,ポケモンカードゲーム サン&ムーン 拡張パック タッグボルト ボックス,20487,仕入れ管理シート・在庫管理,0,20487:ポケモンカードゲーム サン&ムーン 拡張パック タッグボルト ボックス(3) || 88187:ポケモンカードゲーム サン&ムーン 拡張パック タッグボルト パック(0) || 43414:ポケモンカードゲーム サン&ムーン 拡張パック タッグボルト ポケモンセンター限定セット(-2),在庫管理の略称をBOXとして照合
なにかのパック×5,確定,なにかのパック×5,,仕入れ管理シートF列・在庫管理,0,,なにかの〜・福袋（書き方の決まりで揃えた）
イーブイヒーローズ,確定,ポケモンカードゲーム ソード & シールド 強化拡張パック イーブイヒーローズ ボックス,12883,在庫管理,0,12883:ポケモンカードゲーム ソード & シールド 強化拡張パック イーブイヒーローズ ボックス(3) || 88177:ポケモンカードゲーム ソード & シールド 強化拡張パック イーブイヒーローズ パック(0) || 12884:ポケモンカードゲーム ソード & シールド 強化拡張パック イーブイヒーローズ イーブイズセット (イーブイセット)(-2) || 12882:ポケモンカードゲーム ソード & シールド VMAX スペシャルセット イーブイヒーローズ(-4),在庫管理の略称をBOXとして照合
受け継がれる意志,確定,ワンピースカードゲーム ブースターパック「受け継がれる意志」ボックス,548909,在庫管理,0,548909:ワンピースカードゲーム ブースターパック「受け継がれる意志」ボックス(3) || 681023:ドン!!カード: ゴール・D・ロジャー (ブースターパック「受け継がれる意志」)(0) || 681024:ドン!!カード: ゴール・D・ロジャー スーパーパラレル (ブースターパック「受け継がれる意志」)(0) || 548910:ワンピースカードゲーム ブースターパック「受け継がれる意志」パック(0),在庫管理の略称をBOXとして照合
VSTARユニバース,確定,ポケモンカードゲーム ソード&シールド ハイクラスパック VSTARユニバース ボックス (Vユニ),101885,在庫管理,0,101885:ポケモンカードゲーム ソード&シールド ハイクラスパック VSTARユニバース ボックス (Vユニ)(3) || 101886:ポケモンカードゲーム ソード&シールド ハイクラスパック VSTARユニバース パック (Vユニ)(0) || 407023:ハイクラスパック VSTARユニバース AR9枚セット(-2),在庫管理の略称をBOXとして照合
神の島の冒険,確定,ワンピースカードゲーム ブースターパック「神の島の冒険」ボックス,755998,在庫管理,0,755998:ワンピースカードゲーム ブースターパック「神の島の冒険」ボックス(3) || 767049:ドン!!カード (ブースターパック「神の島の冒険」)(0) || 767050:ドン!!カード スーパーパラレル (ブースターパック「神の島の冒険」)(0) || 755999:ワンピースカードゲーム ブースターパック「神の島の冒険」パック(0),在庫管理の略称をBOXとして照合
仰天のボルテッカー,確定,ポケモンカードゲーム ソード & シールド 拡張パック 仰天のボルテッカー ボックス,12879,在庫管理,0,12879:ポケモンカードゲーム ソード & シールド 拡張パック 仰天のボルテッカー ボックス(3) || 88167:ポケモンカードゲーム ソード & シールド 拡張パック 仰天のボルテッカー パック(0) || 38020:ポケモンカードゲーム ソード&シールド キョダイパックセット 仰天のボルテッカー(-2) || 38681:ポケモンカードゲーム ソード&シールド 拡張パック 仰天のボルテッカー ポケモンセンター・ポケモンストアセット(-2),在庫管理の略称をBOXとして照合
クリムゾンベイズ,確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」ボックス,204134,在庫管理,0,204134:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」ボックス(3) || 567441:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」ボックス(1) || 204135:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「クリムゾンヘイズ」パック(0),在庫管理の略称をBOXとして照合
クレイバースト,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「クレイバースト (クレバ) 」 ボックス(スノーハザード&クレイバースト),116901,在庫管理,0,,在庫管理の略称をBOXとして照合
決戦の刻,確定,ワンピースカードゲーム ブースターパック「決戦の刻」ボックス,816932,在庫管理,0,816932:ワンピースカードゲーム ブースターパック「決戦の刻」ボックス(3) || 818890:ドン!!カード (2026 vol.1): 参加記念品(プロモーションカード「決戦の刻【OP-16】発売記念イベント」)(0) || 822614:ドン!!カード: 金ドン(ブースターパック「決戦の刻」)(0) || 828208:ドン!!カード(ブースターパック「決戦の刻」)(0),在庫管理の略称をBOXとして照合
古代の咆哮,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「古代の咆哮」(PARADOX RIFT) ボックス,140591,在庫管理,0,140591:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「古代の咆哮」(PARADOX RIFT) ボックス(3) || 567436:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「古代の咆哮」(PARADOX RIFT) ボックス(1) || 140590:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「古代の咆哮」(PARADOX RIFT) パック(0),在庫管理の略称をBOXとして照合
黒炎の支配者,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「黒炎の支配者」 ボックス,127743,在庫管理,0,127743:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「黒炎の支配者」 ボックス(3) || 131057:ポケモンカードゲーム スカーレット&バイオレット デッキビルドBOX 黒炎の支配者(1) || 567434:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「黒炎の支配者」 ボックス(1) || 127742:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「黒炎の支配者」 パック(0),在庫管理の略称をBOXとして照合
サイバージャッジ,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 ボックス,171884,在庫管理,0,171884:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 ボックス(3) || 567440:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 ボックス(1) || 171885:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 パック(0),在庫管理の略称をBOXとして照合
漆黒のガイスト,確定,ポケモンカードゲーム ソード & シールド 拡張パック 漆黒のガイスト ボックス,12881,在庫管理,0,12881:ポケモンカードゲーム ソード & シールド 拡張パック 漆黒のガイスト ボックス(3) || 88166:ポケモンカードゲーム ソード & シールド 拡張パック 漆黒のガイスト パック(0) || 32858:ポケモンカードゲーム ソード&シールド ジャンボパックセット 白銀のランス&漆黒のガイスト(-2) || 32859:ポケモンカードゲーム ソード&シールド 拡張パック 白銀のランス&漆黒のガイスト ポケモンセンター・ポケモンストアセット(-2),在庫管理の略称をBOXとして照合
シャイニースター,確定,ポケモンカードゲーム ソード & シールド ハイクラスパック シャイニースターV ボックス,12875,在庫管理,0,12875:ポケモンカードゲーム ソード & シールド ハイクラスパック シャイニースターV ボックス(3) || 88181:ポケモンカードゲーム ソード & シールド ハイクラスパック シャイニースターV パック(0) || 38019:ポケモンカードゲーム ソード&シールド ハイクラスパック シャイニースターV ルリナセット(-2),在庫管理の略称をBOXとして照合
スカーレット,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「スカーレットex」ボックス (スカーレット),106863,在庫管理,0,,在庫管理の略称をBOXとして照合
スターバース,確定,ポケモンカードゲーム ソード&シールド 拡張パック スターバース ボックス (スタバ),32870,在庫管理,0,32870:ポケモンカードゲーム ソード&シールド 拡張パック スターバース ボックス (スタバ)(3) || 88565:ポケモンカードゲーム ソード&シールド 拡張パック スターバース パック(0),在庫管理の略称をBOXとして照合
ステラミラクル,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ステラミラクル」ボックス,283206,在庫管理,0,283206:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ステラミラクル」ボックス(3) || 283208:ポケモンカードゲーム スカーレット&バイオレット デッキビルドBOX「ステラミラクル」(1) || 567444:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ステラミラクル」ボックス(1) || 283207:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ステラミラクル」パック(0),在庫管理の略称をBOXとして照合
スペースジャグラー,確定,ポケモンカードゲーム ソード&シールド 拡張パック スペースジャグラー ボックス,66739,在庫管理,0,66739:ポケモンカードゲーム ソード&シールド 拡張パック スペースジャグラー ボックス(3) || 88197:ポケモンカードゲーム ソード&シールド 拡張パック スペースジャグラー パック(0),在庫管理の略称をBOXとして照合
世界最強の戦士,確定,ワンピースカードゲーム ブースターパック「世界最強の戦士」ボックス,864495,在庫管理,0,,在庫管理の略称をBOXとして照合
Pokémon GO,確定,ポケモンカードゲーム ソード&シールド 強化拡張パック ポケモン GO ボックス (ポケGO),58920,在庫管理,0,,在庫管理の略称をBOXとして照合
タッグオールスターズ,確定,ポケモンカードゲーム サン&ムーン ハイクラスパック タッグチームGX タッグオールスターズ ボックス,12894,在庫管理,0,12894:ポケモンカードゲーム サン&ムーン ハイクラスパック タッグチームGX タッグオールスターズ ボックス(3) || 88180:ポケモンカードゲーム サン&ムーン ハイクラスパック タッグチームGX タッグオールスターズ パック(0),在庫管理の略称をBOXとして照合
ダークファンタズマ,確定,ポケモンカードゲーム ソード&シールド 強化拡張パック ダークファンタズマ ボックス,74242,在庫管理,0,74242:ポケモンカードゲーム ソード&シールド 強化拡張パック ダークファンタズマ ボックス(3) || 88200:ポケモンカードゲーム ソード&シールド 強化拡張パック ダークファンタズマ パック(0),在庫管理の略称をBOXとして照合
超電ブレイカー,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「超電ブレイカー」ボックス,395189,在庫管理,0,395189:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「超電ブレイカー」ボックス(3) || 567446:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック「超電ブレイカー」ボックス(1) || 401037:pkmn-tcg-SV8-019(拡張パック「超電ブレイカー」)(0) || 395190:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「超電ブレイカー」パック(0),在庫管理の略称をBOXとして照合
超爆インパクト,確定,ポケモンカードゲーム サン&ムーン 拡張パック 超爆インパクト ボックス,15535,在庫管理,0,15535:ポケモンカードゲーム サン&ムーン 拡張パック 超爆インパクト ボックス(3) || 335170:ポケモンカードゲーム サン&ムーン 拡張パック「超爆インパクト」パック(0) || 44055:ポケモンカードゲーム サン&ムーン 拡張パック 超爆インパクト ポケモンセンター限定セット(-2),在庫管理の略称をBOXとして照合
トウホク,確定,ポケモンカードゲーム スカーレット&バイオレット スペシャルBOX「ポケモンセンタートウホク」,618442,在庫管理,0,618442:ポケモンカードゲーム スカーレット&バイオレット スペシャルBOX「ポケモンセンタートウホク」(5),在庫管理の略称をBOXとして照合
テラスタルフェス,確定,ポケモンカードゲーム スカーレット&バイオレット ハイクラスパック「テラスタルフェスex」ボックス,424297,在庫管理,0,424297:ポケモンカードゲーム スカーレット&バイオレット ハイクラスパック「テラスタルフェスex」ボックス(3) || 567447:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット ハイクラスパック「テラスタルフェスex」ボックス(1) || 424298:ポケモンカードゲーム スカーレット&バイオレット ハイクラスパック「テラスタルフェスex」パック(0),在庫管理の略称をBOXとして照合
ナイトワンダラー,確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 ボックス,261657,在庫管理,0,261657:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 ボックス(3) || 567443:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 ボックス(1) || 261658:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 パック(0),在庫管理の略称をBOXとして照合
白熱のアルカナ,確定,ポケモンカードゲーム ソード&シールド 強化拡張パック「白熱のアルカナ」ボックス,89881,在庫管理,0,89881:ポケモンカードゲーム ソード&シールド 強化拡張パック「白熱のアルカナ」ボックス(3) || 89882:ポケモンカードゲーム ソード&シールド 強化拡張パック 白熱のアルカナ パック(0),在庫管理の略称をBOXとして照合
バイオレット,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「バイオレットex」ボックス,106864,在庫管理,0,,人が選んだ（overrides）
バトルリージョン,確定,ポケモンカードゲーム ソード&シールド 強化拡張パック バトルリージョン ボックス,55866,在庫管理,0,55866:ポケモンカードゲーム ソード&シールド 強化拡張パック バトルリージョン ボックス(3) || 88199:ポケモンカードゲーム ソード&シールド 強化拡張パック バトルリージョン パック(0),在庫管理の略称をBOXとして照合
パラダイムトリガー,確定,ポケモンカードゲーム ソード&シールド 拡張パック「パラダイムトリガー」ボックス (パラトリ),97143,在庫管理,0,97143:ポケモンカードゲーム ソード&シールド 拡張パック「パラダイムトリガー」ボックス (パラトリ)(3) || 97142:ポケモンカードゲーム ソード&シールド 拡張パック パラダイムトリガー パック(0) || 100771:ポケモンカードゲーム ソード&シールド プロモパック パラダイムトリガー「ルギアゲットチャレンジ」(0) || 100772:ポケモンカードゲーム ソード&シールド プロモパック パラダイムトリガー「ルギアゲットチャレンジ」ポケモンセンター Ver.(0),在庫管理の略称をBOXとして照合
ブラックボルトデラックス,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パックデラックス「ブラックボルト」ボックス,584774,在庫管理,0,,在庫管理の略称をBOXとして照合
フクオカ,確定,ポケモンカードゲーム スカーレット&バイオレット スペシャルBOX「ポケモンセンターフクオカ」,618444,在庫管理,0,,人が選んだ（overrides）
変幻の仮面,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「変幻の仮面」ボックス,224649,在庫管理,0,224649:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「変幻の仮面」ボックス(3) || 567442:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック「変幻の仮面」ボックス(1) || 224650:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「変幻の仮面」パック(0),在庫管理の略称をBOXとして照合
ホワイトフレア,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」ボックス,584772,在庫管理,0,584772:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」ボックス(3) || 584776:ポケモンカードゲーム スカーレット&バイオレット 拡張パックデラックス「ホワイトフレア」ボックス(1) || 586841:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」ボックス(1) || 584773:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」パック(0),在庫管理の略称をBOXとして照合
ホワイトフレアデラックス,確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パックデラックス「ホワイトフレア」ボックス,584776,在庫管理,0,,在庫管理の略称をBOXとして照合
ポケモンカード151,確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「ポケモンカード151」ボックス,118914,在庫管理,0,118914:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「ポケモンカード151」ボックス(3) || 567433:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「ポケモンカード151」ボックス(1) || 118915:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ポケモンカード151」 パック (151)(0),在庫管理の略称をBOXとして照合
ムニキスゼロ,確定,ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」ボックス,743533,在庫管理,0,743533:ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」ボックス(3) || 743535:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」ボックス(1) || 743534:ポケモンカードゲームMEGA 拡張パック「ムニキスゼロ」パック(0),在庫管理の略称をBOXとして照合
メガブレイブ,確定,ポケモンカードゲームMEGA 拡張パック「メガブレイブ」ボックス,628146,在庫管理,0,628146:ポケモンカードゲームMEGA 拡張パック「メガブレイブ」ボックス(3) || 658648:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「メガブレイブ」ボックス(1) || 628147:ポケモンカードゲームMEGA 拡張パック「メガブレイブ」パック(0) || 628198:ポケモンカードゲームMEGA ポケモンセンターセット「メガブレイブ」(-2),在庫管理の略称をBOXとして照合
リミックスバウト,確定,ポケモンカードゲーム サン&ムーン 強化拡張パック リミックスバウト ボックス,15570,在庫管理,0,15570:ポケモンカードゲーム サン&ムーン 強化拡張パック リミックスバウト ボックス(3) || 88191:ポケモンカードゲーム サン&ムーン 強化拡張パック リミックスバウト パック(0),在庫管理の略称をBOXとして照合
楽園ドラゴーナ,確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「楽園ドラゴーナ」ボックス,342761,在庫管理,0,342761:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「楽園ドラゴーナ」ボックス(3) || 567445:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「楽園ドラゴーナ」ボックス(1) || 342762:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「楽園ドラゴーナ」パック(0),在庫管理の略称をBOXとして照合
レイジングサーフ,確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「レイジングサーフ」 ボックス,134104,在庫管理,0,134104:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「レイジングサーフ」 ボックス(3) || 567435:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「レイジングサーフ」 ボックス(1) || 133477:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「レイジングサーフ」 パック(0),在庫管理の略称をBOXとして照合
ONE PIECE CARD THE BEST 2,確定,ワンピースカードゲーム プレミアムブースター「ONE PIECE CARD THE BEST vol.2」ボックス,548907,在庫管理,0,,人が選んだ（overrides）
25th ANNIVERSARY COLLECTION,確定,ポケモンカードゲーム ソード&シールド 拡張パック 25th アニバーサリー コレクション ボックス,14025,在庫管理,0,,人が選んだ（overrides）
Megaドリーム,確定,ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」ボックス,721913,在庫管理,0,721913:ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」ボックス(3) || 721915:【シュリンクなし】ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」ボックス(1) || 721914:ポケモンカードゲームMEGA ハイクラスパック「MEGAドリームex」パック(0),在庫管理の略称をBOXとして照合
★Apple Watch（最新）,確定,Apple Watch SE 3 GPSモデル 40mm,,在庫管理,0,,スニダン外の商品（mintore_non_snkr.csv）
"🎁神福袋（額面30,000pt相当・PSA10入り）",確定,"🎁神福袋(額面30,000pt相当・PSA10入り)",,在庫管理,0,,なにかの〜・福袋（書き方の決まりで揃えた）
白銀のランス,確定,ポケモンカードゲーム ソード & シールド 拡張パック 白銀のランス ボックス,12880,在庫管理,0,12880:ポケモンカードゲーム ソード & シールド 拡張パック 白銀のランス ボックス(3) || 88165:ポケモンカードゲーム ソード & シールド 拡張パック 白銀のランス パック(0) || 32858:ポケモンカードゲーム ソード&シールド ジャンボパックセット 白銀のランス&漆黒のガイスト(-2) || 32859:ポケモンカードゲーム ソード&シールド 拡張パック 白銀のランス&漆黒のガイスト ポケモンセンター・ポケモンストアセット(-2),在庫管理の略称をBOXとして照合
191/184,確定,オクタン CHR [s8b 191/184],126708,在庫管理,0,,人が選んだ（overrides）
021/025,確定,ゼクロム: プロモ [S8a-P 021/025],98530,在庫管理,0,,人が選んだ（overrides）
030/187,確定,シャワーズ: マスターボールミラー [SV8a 030/187],471586,在庫管理,0,,人が選んだ（overrides）
091/063,確定,リーリエの決心 SAR [M1L 091/063],663637,在庫管理,0,,人が選んだ（overrides）
071/066,要確認,,,在庫管理,0,91636:N SR: 1ED [BW2 071/066](0) || 105351:ハッサムGX SR [SM6b 071/066](0) || 105394:デンジ SR [SM5M 071/066](0) || 105410:ポケモンだいすきクラブ SR [SM5S 071/066](0),名前が合う候補が無い
205/193,確定,ロケット団のミミッキュ AR [M2a 205/193],730942,在庫管理,0,,人が選んだ（overrides）
100/094,確定,おじょうさま SR [SM6 100/094],91312,在庫管理,0,,人が選んだ（overrides）
075/069,確定,シャワーズV SR: SA [S6a 075/069],91172,在庫管理,0,,人が選んだ（overrides）
MacBook,確定,MacBook Air (M5) 13インチ,,在庫管理,0,,スニダン外の商品（mintore_non_snkr.csv）
071/065,要確認,,,在庫管理,0,,型番 071/065 がスニダン一覧に無い
リーリエのアブリボン 105/100,確定,リーリエのアブリボン AR [SV9 105/100],505952,在庫管理,0,505952:リーリエのアブリボン AR [SV9 105/100](4) || 96567:ネオラントV: SA SR [S9 105/100](-4) || 96582:ミュウV SR [S8 105/100](-4) || 102308:クロバットV SR [S3 105/100](-4),
アゲハント 194/193,確定,アゲハント AR [M2a 194/193],731012,在庫管理,0,731012:アゲハント AR [M2a 194/193](4),
ドクケイル 195/193,確定,ドクケイル AR [M2a 195/193],731013,在庫管理,0,731013:ドクケイル AR [M2a 195/193](4),
